# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.032139062881469727e+00 7.764609903097152710e-02 2.247517108917236328e+00 7.764609903097152710e-02
1.000000000000000000e+03 5.789894144982099533e-03 4.432004934642463923e-04 4.491365514695644379e-03 4.432004934642463923e-04
2.000000000000000000e+03 1.530684763565659523e-03 8.044610149227082729e-05 1.251335721462965012e-03 8.044610149227082729e-05
3.000000000000000000e+03 1.064929412677884102e-03 5.503901411429978907e-05 9.520960156805813313e-04 5.503901411429978907e-05
4.000000000000000000e+03 1.237277640029788017e-03 3.540665056789293885e-05 1.146893016993999481e-03 3.540665056789293885e-05
5.000000000000000000e+03 1.003727549687027931e-03 2.437413240841124207e-05 8.008828735910356045e-04 2.437413240841124207e-05
6.000000000000000000e+03 7.251202478073537350e-04 2.166608828702010214e-05 6.208934937603771687e-04 2.166608828702010214e-05
7.000000000000000000e+03 4.667173605412244797e-03 1.930190046550706029e-05 4.022430162876844406e-03 1.930190046550706029e-05
8.000000000000000000e+03 4.343811888247728348e-04 1.492418687121244147e-05 3.584215010050684214e-04 1.492418687121244147e-05
9.000000000000000000e+03 6.528009544126689434e-04 1.533569229650311172e-05 5.965857999399304390e-04 1.533569229650311172e-05
1.000000000000000000e+04 1.537051051855087280e-03 1.596590846020262688e-05 1.544135855510830879e-03 1.596590846020262688e-05
1.000000000000000000e+04 1.537051051855087280e-03 1.596590846020262688e-05 1.544135855510830879e-03 1.596590846020262688e-05
1.100000000000000000e+04 5.264847277430817485e-05 2.212255139966146089e-06 5.264847277430817485e-05 2.212255139966146089e-06
1.200000000000000000e+04 2.384740037086885422e-05 3.090848395004286431e-06 2.384740037086885422e-05 3.090848395004286431e-06
1.300000000000000000e+04 1.179491300717927516e-05 2.489046210030210204e-06 1.179491300717927516e-05 2.489046210030210204e-06
1.400000000000000000e+04 6.588773430848959833e-06 5.136573122399568092e-07 6.588773430848959833e-06 5.136573122399568092e-07
1.479900000000000000e+04 4.857752628595335409e-06 3.530999777012766572e-07 3.738678060472011566e-06 3.530999777012766572e-07
